asset,free,locked,date
FIO,0.00000000,0.00000000,2026-02-22
BIDR,0.00,0.00,2026-02-22
STMX,0.00000000,0.00000000,2026-02-22
MDT,0.00000000,0.00000000,2026-02-22
PNT,0.00000000,0.00000000,2026-02-22
COMP,0.00000000,0.00000000,2026-02-22
IRIS,0.00000000,0.00000000,2026-02-22
MKR,0.00000000,0.00000000,2026-02-22
SXP,0.00000000,0.00000000,2026-02-22
SNX,0.00000000,0.00000000,2026-02-22
DAI,0.00000000,0.00000000,2026-02-22
ETHUP,0.00000000,0.00000000,2026-02-22
ETHDOWN,0.00000000,0.00000000,2026-02-22
ADAUP,0.00000000,0.00000000,2026-02-22
ADADOWN,0.00000000,0.00000000,2026-02-22
LINKUP,0.00000000,0.00000000,2026-02-22
LINKDOWN,0.00000000,0.00000000,2026-02-22
DOT,0.00000000,0.00000000,2026-02-22
RUNE,0.00000000,0.00000000,2026-02-22
BNBUP,0.00000000,0.00000000,2026-02-22
BNBDOWN,0.00000000,0.00000000,2026-02-22
XTZUP,0.00000000,0.00000000,2026-02-22
XTZDOWN,0.00000000,0.00000000,2026-02-22
AVA,0.00000000,0.00000000,2026-02-22
BAL,0.00000000,0.00000000,2026-02-22
YFI,0.00000000,0.00000000,2026-02-22
SRM,0.00000000,0.00000000,2026-02-22
ANT,0.00000000,0.00000000,2026-02-22
CRV,0.00000000,0.00000000,2026-02-22
SAND,0.00000000,0.00000000,2026-02-22
OCEAN,0.00000000,0.00000000,2026-02-22
NMR,0.00000000,0.00000000,2026-02-22
LUNA,0.00000000,0.00000000,2026-02-22
IDEX,0.00000000,0.00000000,2026-02-22
RSR,0.00000000,0.00000000,2026-02-22
PAXG,0.00000000,0.00000000,2026-02-22
WNXM,0.00000000,0.00000000,2026-02-22
TRB,0.00000000,0.00000000,2026-02-22
EGLD,0.00000000,0.00000000,2026-02-22
BZRX,0.00000000,0.00000000,2026-02-22
WBTC,0.00000000,0.00000000,2026-02-22
KSM,0.00000000,0.00000000,2026-02-22
SUSHI,0.00000000,0.00000000,2026-02-22
YFII,0.00000000,0.00000000,2026-02-22
DIA,0.00000000,0.00000000,2026-02-22
BEL,0.00000000,0.00000000,2026-02-22
UMA,0.00000000,0.00000000,2026-02-22
EOSUP,0.00000000,0.00000000,2026-02-22
TRXUP,0.00000000,0.00000000,2026-02-22
EOSDOWN,0.00000000,0.00000000,2026-02-22
TRXDOWN,0.00000000,0.00000000,2026-02-22
XRPUP,0.00000000,0.00000000,2026-02-22
XRPDOWN,0.00000000,0.00000000,2026-02-22
DOTUP,0.00000000,0.00000000,2026-02-22
DOTDOWN,0.00000000,0.00000000,2026-02-22
NBS,0.00000000,0.00000000,2026-02-22
WING,0.00000000,0.00000000,2026-02-22
SWRV,0.00000000,0.00000000,2026-02-22
LTCUP,0.00000000,0.00000000,2026-02-22
LTCDOWN,0.00000000,0.00000000,2026-02-22
CREAM,0.00000000,0.00000000,2026-02-22
UNI,0.00000000,0.00000000,2026-02-22
OXT,0.00000000,0.00000000,2026-02-22
SUN,0.00000000,0.00000000,2026-02-22
AVAX,0.00000000,0.00000000,2026-02-22
BURGER,0.00000000,0.00000000,2026-02-22
BAKE,0.00000000,0.00000000,2026-02-22
FLM,0.00000000,0.00000000,2026-02-22
SCRT,0.00000000,0.00000000,2026-02-22
XVS,0.00000000,0.00000000,2026-02-22
CAKE,0.00000000,0.00000000,2026-02-22
SPARTA,0.00000000,0.00000000,2026-02-22
UNIUP,0.00000000,0.00000000,2026-02-22
UNIDOWN,0.00000000,0.00000000,2026-02-22
ALPHA,0.00000000,0.00000000,2026-02-22
ORN,0.00000000,0.00000000,2026-02-22
UTK,0.00000000,0.00000000,2026-02-22
NEAR,0.00000000,0.00000000,2026-02-22
VIDT,0.00000000,0.00000000,2026-02-22
AAVE,0.00000000,0.00000000,2026-02-22
FIL,0.00000000,0.00000000,2026-02-22
SXPUP,0.00000000,0.00000000,2026-02-22
SXPDOWN,0.00000000,0.00000000,2026-02-22
INJ,0.00000000,0.00000000,2026-02-22
FILDOWN,0.00000000,0.00000000,2026-02-22
FILUP,0.00000000,0.00000000,2026-02-22
YFIUP,0.00000000,0.00000000,2026-02-22
YFIDOWN,0.00000000,0.00000000,2026-02-22
CTK,0.00000000,0.00000000,2026-02-22
EASY,0.00000000,0.00000000,2026-02-22
AUDIO,0.00000000,0.00000000,2026-02-22
BCHUP,0.00000000,0.00000000,2026-02-22
BCHDOWN,0.00000000,0.00000000,2026-02-22
BOT,0.00000000,0.00000000,2026-02-22
AXS,0.00000000,0.00000000,2026-02-22
AKRO,0.00000000,0.00000000,2026-02-22
HARD,0.00000000,0.00000000,2026-02-22
KP3R,0.00000000,0.00000000,2026-02-22
RENBTC,0.00000000,0.00000000,2026-02-22
SLP,0.00000000,0.00000000,2026-02-22
STRAX,0.00000000,0.00000000,2026-02-22
UNFI,0.00000000,0.00000000,2026-02-22
CVP,0.00000000,0.00000000,2026-02-22
BCHA,0.00000000,0.00000000,2026-02-22
FOR,0.00000000,0.00000000,2026-02-22
FRONT,0.00000000,0.00000000,2026-02-22
ROSE,0.00000000,0.00000000,2026-02-22
MDX,0.00000000,0.00000000,2026-02-22
HEGIC,0.00000000,0.00000000,2026-02-22
AAVEUP,0.00000000,0.00000000,2026-02-22
AAVEDOWN,0.00000000,0.00000000,2026-02-22
PROM,0.00000000,0.00000000,2026-02-22
BETH,0.00000000,0.00000000,2026-02-22
SKL,0.00000000,0.00000000,2026-02-22
GLM,0.00000000,0.00000000,2026-02-22
SUSD,0.00000000,0.00000000,2026-02-22
COVER,0.00000000,0.00000000,2026-02-22
GHST,0.00000000,0.00000000,2026-02-22
SUSHIUP,0.00000000,0.00000000,2026-02-22
SUSHIDOWN,0.00000000,0.00000000,2026-02-22
XLMUP,0.00000000,0.00000000,2026-02-22
XLMDOWN,0.00000000,0.00000000,2026-02-22
DF,0.00000000,0.00000000,2026-02-22
JUV,0.00000000,0.00000000,2026-02-22
PSG,0.00000000,0.00000000,2026-02-22
BVND,0.00,0.00,2026-02-22
GRT,0.00000000,0.00000000,2026-02-22
CELO,0.00000000,0.00000000,2026-02-22
TWT,0.00000000,0.00000000,2026-02-22
REEF,0.00000000,0.00000000,2026-02-22
OG,0.00000000,0.00000000,2026-02-22
ATM,0.00000000,0.00000000,2026-02-22
ASR,0.00000000,0.00000000,2026-02-22
1INCH,0.00000000,0.00000000,2026-02-22
RIF,0.00000000,0.00000000,2026-02-22
BTCST,0.00000000,0.00000000,2026-02-22
TRU,0.00000000,0.00000000,2026-02-22
DEXE,0.00000000,0.00000000,2026-02-22
CKB,0.00000000,0.00000000,2026-02-22
FIRO,0.00000000,0.00000000,2026-02-22
LIT,0.00000000,0.00000000,2026-02-22
PROS,0.00000000,0.00000000,2026-02-22
VAI,0.00000000,0.00000000,2026-02-22
SFP,0.00000000,0.00000000,2026-02-22
FXS,0.00000000,0.00000000,2026-02-22
DODO,0.00000000,0.00000000,2026-02-22
AUCTION,0.00000000,0.00000000,2026-02-22
UFT,0.00000000,0.00000000,2026-02-22
ACM,0.00000000,0.00000000,2026-02-22
PHA,0.00000000,0.00000000,2026-02-22
TVK,0.00000000,0.00000000,2026-02-22
BADGER,0.00000000,0.00000000,2026-02-22
FIS,0.00000000,0.00000000,2026-02-22
QI,0.00000000,0.00000000,2026-02-22
OM,0.00000000,0.00000000,2026-02-22
POND,0.00000000,0.00000000,2026-02-22
ALICE,0.00000000,0.00000000,2026-02-22
DEGO,0.00000000,0.00000000,2026-02-22
BIFI,0.00000000,0.00000000,2026-02-22
LINA,0.00000000,0.00000000,2026-02-22
PERP,0.00000000,0.00000000,2026-02-22
RAMP,0.00000000,0.00000000,2026-02-22
SUPER,0.00000000,0.00000000,2026-02-22
CFX,0.00000000,0.00000000,2026-02-22
TKO,0.00000000,0.00000000,2026-02-22
AUTO,0.00000000,0.00000000,2026-02-22
EPS,0.00000000,0.00000000,2026-02-22
PUNDIX,0.00000000,0.00000000,2026-02-22
TLM,0.00000000,0.00000000,2026-02-22
1INCHUP,0.00000000,0.00000000,2026-02-22
1INCHDOWN,0.00000000,0.00000000,2026-02-22
MIR,0.00000000,0.00000000,2026-02-22
BAR,0.00000000,0.00000000,2026-02-22
FORTH,0.00000000,0.00000000,2026-02-22
EZ,0.00000000,0.00000000,2026-02-22
AR,0.00000000,0.00000000,2026-02-22
ICP,0.00000000,0.00000000,2026-02-22
SHIB,0.00,0.00,2026-02-22
POLS,0.00000000,0.00000000,2026-02-22
MASK,0.00000000,0.00000000,2026-02-22
LPT,0.00000000,0.00000000,2026-02-22
AGIX,0.00000000,0.00000000,2026-02-22
ATA,0.00000000,0.00000000,2026-02-22
NU,0.00000000,0.00000000,2026-02-22
GTC,0.00000000,0.00000000,2026-02-22
KLAY,0.00000000,0.00000000,2026-02-22
TORN,0.00000000,0.00000000,2026-02-22
KEEP,0.00000000,0.00000000,2026-02-22
ERN,0.00000000,0.00000000,2026-02-22
BOND,0.00000000,0.00000000,2026-02-22
MLN,0.00000000,0.00000000,2026-02-22
C98,0.00000000,0.00000000,2026-02-22
FLOW,0.00000000,0.00000000,2026-02-22
QUICK,0.00000000,0.00000000,2026-02-22
RAY,0.00000000,0.00000000,2026-02-22
MINA,0.00000000,0.00000000,2026-02-22
QNT,0.00000000,0.00000000,2026-02-22
CLV,0.00000000,0.00000000,2026-02-22
XEC,0.00,0.00,2026-02-22
ALPACA,0.00000000,0.00000000,2026-02-22
FARM,0.00000000,0.00000000,2026-02-22
